"Year","Site","Block","Paddock","Drought","Grazing","Plot","slope_simple","npp_type","npp_gm2"
2018,"TB",3,2,0,"HHMMM",48,1,"BNPP",NA
2018,"TB",3,2,0,"HHMMM",48,1,"totNPP",NA
2018,"TB",3,2,25,"HHMMM",44,1,"ANPP",155.25
2018,"TB",3,2,25,"HHMMM",44,1,"BNPP",NA
2018,"TB",3,2,25,"HHMMM",44,1,"totNPP",NA
2018,"TB",3,2,50,"HHMMM",45,1,"ANPP",127.25
2018,"TB",3,2,50,"HHMMM",45,1,"BNPP",NA
2018,"TB",3,2,50,"HHMMM",45,1,"totNPP",NA
2018,"TB",3,2,75,"HHMMM",46,1,"ANPP",142.1
2018,"TB",3,2,75,"HHMMM",46,1,"BNPP",NA
2018,"TB",3,2,75,"HHMMM",46,1,"totNPP",NA
2018,"TB",3,2,99,"HHMMM",47,1,"ANPP",190.85
2018,"TB",3,2,99,"HHMMM",47,1,"BNPP",NA
2018,"TB",3,2,99,"HHMMM",47,1,"totNPP",NA
2018,"TB",3,3,0,"MLLMM",39,1,"ANPP",155.25
2018,"TB",3,3,0,"MLLMM",39,1,"BNPP",NA
2018,"TB",3,3,0,"MLLMM",39,1,"totNPP",NA
2018,"TB",3,3,0,"MLLMM",41,1,"ANPP",147.1
2018,"TB",3,3,0,"MLLMM",41,1,"BNPP",NA
2018,"TB",3,3,0,"MLLMM",41,1,"totNPP",NA
2018,"TB",3,3,25,"MLLMM",38,1,"ANPP",138.25
2018,"TB",3,3,25,"MLLMM",38,1,"BNPP",NA
2018,"TB",3,3,25,"MLLMM",38,1,"totNPP",NA
2018,"TB",3,3,50,"MLLMM",42,1,"ANPP",186
2018,"TB",3,3,50,"MLLMM",42,1,"BNPP",NA
2018,"TB",3,3,50,"MLLMM",42,1,"totNPP",NA
2018,"TB",3,3,75,"MLLMM",37,1,"ANPP",153.95
2018,"TB",3,3,75,"MLLMM",37,1,"BNPP",NA
2018,"TB",3,3,75,"MLLMM",37,1,"totNPP",NA
2018,"TB",3,3,99,"MLLMM",40,1,"ANPP",206.65
2018,"TB",3,3,99,"MLLMM",40,1,"BNPP",NA
2018,"TB",3,3,99,"MLLMM",40,1,"totNPP",NA
2019,"TB",1,1,0,"MMMMM",15,2,"ANPP",149
2019,"TB",1,1,0,"MMMMM",15,2,"BNPP",114.039217887519
2019,"TB",1,1,0,"MMMMM",15,2,"totNPP",263.039217887519
2019,"TB",1,1,0,"MMMMM",17,2,"ANPP",199.8
2019,"TB",1,1,0,"MMMMM",17,2,"BNPP",89.4593947609419
2019,"TB",1,1,0,"MMMMM",17,2,"totNPP",289.259394760942
2019,"TB",1,1,25,"MMMMM",16,2,"ANPP",158.3
2019,"TB",1,1,25,"MMMMM",16,2,"BNPP",81.1210690743759
2019,"TB",1,1,25,"MMMMM",16,2,"totNPP",239.421069074376
2019,"TB",1,1,50,"MMMMM",13,2,"ANPP",123.5
2019,"TB",1,1,50,"MMMMM",13,2,"BNPP",214.634638390848
2019,"TB",1,1,50,"MMMMM",13,2,"totNPP",338.134638390848
2019,"TB",1,1,75,"MMMMM",14,2,"ANPP",128.6
2019,"TB",1,1,75,"MMMMM",14,2,"BNPP",133.997924928523
2019,"TB",1,1,75,"MMMMM",14,2,"totNPP",262.597924928523
2019,"TB",1,1,99,"MMMMM",18,2,"ANPP",122.6
2019,"TB",1,1,99,"MMMMM",18,2,"BNPP",183.992849426327
2019,"TB",1,1,99,"MMMMM",18,2,"totNPP",306.592849426327
2019,"TB",1,2,0,"HHMMM",3,1,"ANPP",50.8
2019,"TB",1,2,0,"HHMMM",3,1,"BNPP",113.884418770815
2019,"TB",1,2,0,"HHMMM",3,1,"totNPP",164.684418770815
2019,"TB",1,2,0,"HHMMM",4,1,"ANPP",116.5
2019,"TB",1,2,0,"HHMMM",4,1,"BNPP",136.825302876219
2019,"TB",1,2,0,"HHMMM",4,1,"totNPP",253.325302876219
2019,"TB",1,2,25,"HHMMM",6,1,"ANPP",90.1
2019,"TB",1,2,25,"HHMMM",6,1,"BNPP",126.128983238416
2019,"TB",1,2,25,"HHMMM",6,1,"totNPP",216.228983238416
2019,"TB",1,2,50,"HHMMM",5,1,"ANPP",139.5
2019,"TB",1,2,50,"HHMMM",5,1,"BNPP",308.14271995352
2019,"TB",1,2,50,"HHMMM",5,1,"totNPP",447.64271995352
2019,"TB",1,2,75,"HHMMM",1,1,"ANPP",191.5
2019,"TB",1,2,75,"HHMMM",1,1,"BNPP",153.028785567671
2019,"TB",1,2,75,"HHMMM",1,1,"totNPP",344.528785567671
2019,"TB",1,2,99,"HHMMM",2,1,"ANPP",135
2019,"TB",1,2,99,"HHMMM",2,1,"BNPP",220.811505201871
2019,"TB",1,2,99,"HHMMM",2,1,"totNPP",355.811505201871
2019,"TB",1,3,0,"MLLMM",7,1,"ANPP",118.1
2019,"TB",1,3,0,"MLLMM",7,1,"BNPP",251.11026184274
2019,"TB",1,3,0,"MLLMM",7,1,"totNPP",369.21026184274
2019,"TB",1,3,0,"MLLMM",9,1,"ANPP",120.1
2019,"TB",1,3,0,"MLLMM",9,1,"BNPP",160.356313071357
2019,"TB",1,3,0,"MLLMM",9,1,"totNPP",280.456313071357
2019,"TB",1,3,25,"MLLMM",12,1,"ANPP",130.2
2019,"TB",1,3,25,"MLLMM",12,1,"BNPP",165.450580333866
2019,"TB",1,3,25,"MLLMM",12,1,"totNPP",295.650580333866
2019,"TB",1,3,50,"MLLMM",11,1,"ANPP",162
2019,"TB",1,3,50,"MLLMM",11,1,"BNPP",135.435463957577
2019,"TB",1,3,50,"MLLMM",11,1,"totNPP",297.435463957577
2019,"TB",1,3,75,"MLLMM",8,1,"ANPP",86.9
2019,"TB",1,3,75,"MLLMM",8,1,"BNPP",189.216330844605
2019,"TB",1,3,75,"MLLMM",8,1,"totNPP",276.116330844605
2019,"TB",1,3,99,"MLLMM",10,1,"ANPP",90.5
2019,"TB",1,3,99,"MLLMM",10,1,"BNPP",180.968779976059
2019,"TB",1,3,99,"MLLMM",10,1,"totNPP",271.468779976059
2019,"TB",2,1,0,"MMMMM",25,1,"ANPP",45
2019,"TB",2,1,0,"MMMMM",25,1,"BNPP",98.0267125491603
2019,"TB",2,1,0,"MMMMM",25,1,"totNPP",143.02671254916
2019,"TB",2,1,0,"MMMMM",29,1,"ANPP",125
2019,"TB",2,1,0,"MMMMM",29,1,"BNPP",124.805284450216
2019,"TB",2,1,0,"MMMMM",29,1,"totNPP",249.805284450216
2019,"TB",2,1,25,"MMMMM",30,1,"ANPP",117.8
2019,"TB",2,1,25,"MMMMM",30,1,"BNPP",116.24482198216
2019,"TB",2,1,25,"MMMMM",30,1,"totNPP",234.04482198216
2019,"TB",2,1,50,"MMMMM",27,1,"ANPP",63.6
2019,"TB",2,1,50,"MMMMM",27,1,"BNPP",149.532169974319
2019,"TB",2,1,50,"MMMMM",27,1,"totNPP",213.132169974319
2019,"TB",2,1,75,"MMMMM",26,1,"ANPP",63.2
2019,"TB",2,1,75,"MMMMM",26,1,"BNPP",109.112231784939
2019,"TB",2,1,75,"MMMMM",26,1,"totNPP",172.312231784939
2019,"TB",2,1,99,"MMMMM",28,1,"ANPP",281.2
2019,"TB",2,1,99,"MMMMM",28,1,"BNPP",91.5549414309764
2019,"TB",2,1,99,"MMMMM",28,1,"totNPP",372.754941430976
2019,"TB",2,2,0,"HHMMM",20,2,"ANPP",122.6
2019,"TB",2,2,0,"HHMMM",20,2,"BNPP",127.843508387574
2019,"TB",2,2,0,"HHMMM",20,2,"totNPP",250.443508387574
2019,"TB",2,2,0,"HHMMM",23,2,"ANPP",64.5
2019,"TB",2,2,0,"HHMMM",23,2,"BNPP",123.096616931538
2019,"TB",2,2,0,"HHMMM",23,2,"totNPP",187.596616931538
2019,"TB",2,2,25,"HHMMM",24,2,"ANPP",71.2
2019,"TB",2,2,25,"HHMMM",24,2,"BNPP",120.512340039774
2019,"TB",2,2,25,"HHMMM",24,2,"totNPP",191.712340039774
2019,"TB",2,2,50,"HHMMM",19,2,"ANPP",55.4
